ID1,ID2,lat,lon,elevation,Tave08
613597,613597,46.35368,-88.95335,505,15.6
613598,613598,46.37799,-88.91712,489,15.5
613606,613606,45.90355,-89.06899,517,15.4
613607,613607,45.90355,-89.06899,517,15.4
613608,613608,45.90355,-89.06899,517,15.4
613609,613609,45.929,-88.861,514,15.5
613610,613610,45.896265,-88.874505,530,15.5
613611,613611,45.86375,-88.88867,510,15.5
613612,613612,45.86375,-88.88867,510,15.5
613652,613652,45.58094,-77.66086,306,15.7
613654,613654,45.58094,-77.66086,306,15.7
613657,613657,48.8665693,-86.9761973,321,13.4
613658,613658,48.8665693,-86.9761973,321,13.4
613660,613660,48.8665693,-86.9761973,321,13.4
613661,613661,48.8665693,-86.9761973,321,13.4
613662,613662,48.8665693,-86.9761973,321,13.4
613663,613663,48.8665693,-86.9761973,321,13.4
613669,613669,45.6677817,-77.6868559,182,16.2
613671,613671,45.6677817,-77.6868559,182,16.2
613673,613673,45.6677817,-77.6868559,182,16.2
613676,613676,45.68915,-77.53545,203,16.4
613677,613677,45.68915,-77.53545,203,16.4
613690,613690,48.8665693,-86.9761973,321,13.4
613691,613691,48.8665693,-86.9761973,321,13.4
614261,614261,45.794,-66.854,171,17.4
614262,614262,45.82499,-66.919051,138,17.8
614268,614268,45.82499,-66.919051,138,17.8
614269,614269,45.82499,-66.919051,138,17.8
614270,614270,45.82499,-66.919051,138,17.8
614273,614273,45.75421,-67.18008,194,17.6
614276,614276,45.71443,-66.86854,141,17.6
614277,614277,45.71443,-66.86854,141,17.6
614278,614278,45.71443,-66.86854,141,17.6
614279,614279,44.9230007,-63.2413358,31,18.4
614280,614280,44.9230007,-63.2413358,31,18.4
614281,614281,44.9230007,-63.2413358,31,18.4
614282,614282,44.9230007,-63.2413358,31,18.4
614283,614283,44.9144398,-63.3232274,66,18.4
614284,614284,44.9144398,-63.3232274,66,18.4
614285,614285,44.9144398,-63.3232274,66,18.4
614287,614287,45.6711541,-69.4469979,376,16.2
614288,614288,45.6711541,-69.4469979,376,16.2
614289,614289,45.617,-69.332,392,15.9
614293,614293,45.617,-69.332,392,15.9
614294,614294,45.5990454,-69.5107309,315,16.6
614297,614297,45.617,-69.332,392,15.9
614299,614299,45.6711541,-69.4469979,376,16.2
614302,614302,45.54339,-69.54654,348,16.5
614305,614305,45.51109,-69.57217,332,16.4
614307,614307,45.51109,-69.57217,332,16.4
