Gene_Name,Gene_Symbol,Function,Source,DOI
Intracellular hyaluronic acid binding protein,HMMR,Others,Lemaitre et al.  2004,https://doi.org/10.1002/jcb.20212
Proteasome subunit HsC7-I,PSMB2,Others,Lemaitre et al.  2004,https://doi.org/10.1002/jcb.20212
Proteasome subunit p58,PSMD3,Others,Lemaitre et al.  2004,https://doi.org/10.1002/jcb.20212
"Voltage dependent anion channel, calcium channel",VDAC3,Others,Lemaitre et al.  2004,https://doi.org/10.1002/jcb.20212
"USA-CyP, UsnRNP-associated cyclophilin",PPIH,Others,Lemaitre et al.  2004,https://doi.org/10.1002/jcb.20212
"Frataxin, mitochondrial iron sequestration",FRDA,Others,Lemaitre et al.  2004,https://doi.org/10.1002/jcb.20212
,NECTIN-3,,Sin et al. 2024,10.1093/molbev/msae046
,SCUBE2,,Sin et al. 2024,10.1093/molbev/msae046
,THBS4,,Sin et al. 2024,10.1093/molbev/msae046
,PPP1R3C,,Ji et al. 2020,DOI: 10.1111/jbg.12481
,IGF1,,Ji et al. 2020,DOI: 10.1111/jbg.12481
,PTCHD1,,Ji et al. 2020,DOI: 10.1111/jbg.12481
,HOXB6,,Ji et al. 2020,DOI: 10.1111/jbg.12481
,FGF9,,Ji et al. 2020,DOI: 10.1111/jbg.12481
,CAMK4,,Ji et al. 2020,DOI: 10.1111/jbg.12481
,SHH,,Ji et al. 2020,DOI: 10.1111/jbg.12481
,BMP8B,,Ji et al. 2020,DOI: 10.1111/jbg.12481
,FOXN1,,Ji et al. 2020,DOI: 10.1111/jbg.12481
,PTGER2,,Ji et al. 2020,DOI: 10.1111/jbg.12481
