"USNM.no.","Species","Day","Month","Year","Locality","County","State.Province","Sex","pop","Region","lat","lon","GRG.no.","Collector","prepartor","tissue.no.","Age","testes.L.R","weight.g","skeleton","wing.R.mm","tail.mm","bill.depth.mm","bill.width.mm","bill.culmen.mm","bill.nares.mm","tarsus1.mm","tarsus2.mm","alula","wing.spot.L.mm","wing.spot.R.mm","dorsal.photoID","side.photoID","crown.photoID","ventral.photoID","file.loc","comments_specimen","comments_analysis","Weight"
"606656","Setophaga caerulescens","11","Jun","88","Bark Camp Branch, 4mi SE Norton, Jefferson Nat'l Forest; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2526,"GRG","JPA","T-494-a,b","ASY","7.5x5.5",10,"partial",62.1,54.9,3.2,3.5,10.9,6.4,NA,NA,"blue",16.8,16.4,2,2,2,2,NA,"Not original label","",NA
"606657","Setophaga caerulescens","11","Jun","88","Bark Camp Branch, 4mi SE Norton, Jefferson Nat'l Forest; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2527,"GRG","JPA","T-495-a,b","ASY","5x5",9.5,"partial",63.8,52,2.9,3.7,10.5,6.9,NA,NA,"blue",16.8,14.1,2,2,2,2,NA,"Not original label","",NA
"606662","Setophaga caerulescens","13","Jun","88","Stoney Creek, 10mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2532,"GRG","JPA","500-a,b","SY","5x5",9.5,"partial",62.6,51.8,3,3.7,11.2,7,NA,NA,"green",12.4,14.9,2,2,2,2,NA,"not original tag; testes mushy","",NA
"606663","Setophaga caerulescens","13","Jun","88","Stoney Creek, 10mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2533,"GRG","JPA","501-a,b","ASY","7x6",9.5,"partial",62.9,53.8,3.3,4.2,10.6,7.2,NA,NA,"blue",11.9,13.9,2,2,2,2,NA,"not original tag","",NA
"606673","Setophaga caerulescens","21","Jun","88","Monogahela Nat'l Forest; 2mi E. Gauley Mills","Webster","WV","M","WV.Webster","Central",38.3614987,-80.5834224,2543,"GRG","JPA","511-a,b","ASY","6.5x5",9.5,"partial",62.3,51.4,3,4,9.8,6.7,NA,NA,"blue",13,11.1,2,2,2,2,NA,"660m elev; not original label","",NA
"606674","Setophaga caerulescens","21","Jun","88","Monogahela Nat'l Forest;Gauley River, 2mi E. Gauley Mills","Webster","WV","M","WV.Webster","Central",38.3614987,-80.5834224,2544,"GRG","JPA","512-a,b","ASY","7x5, 6x5",9,"partial",62.4,50.1,2.8,4.2,10.5,7,NA,NA,"blue",17.5,17.6,2,2,2,2,NA,"660m elev; not original label","",NA
"606675","Setophaga caerulescens","21","Jun","88","Monogahela Nat'l Forest;Gauley River, 2mi E. Gauley Mills","Webster","WV","M","WV.Webster","Central",38.3614987,-80.5834224,2545,"GRG","JPA","513-a,b","ASY","7x5.5",9,"partial",62.2,55.8,3.2,3.8,11.1,7.2,NA,NA,"blue",12.7,14.6,2,2,2,2,NA,"660m elev; not original label","",NA
"606681","Setophaga caerulescens","19","Jun","88","Monongahela Nat'l Forest, Shaver's Fork, 1mi N Hwy 92; 1070m","Randolph","WV","M","WV.Randolph","Central",38.63488,-79.88203,2551,"GRG","JPA","T-519-a,b","ASY","8x5.5",9.5,"partial",64.5,53.6,3.1,3.7,11.1,7,NA,NA,"blue",19.6,20,2,2,2,2,NA,"Not original label","",NA
"606682","Setophaga caerulescens","19","Jun","88","Monongahela Nat'l Forest, Shaver's Fork, 1mi N Hwy 92; 1070m","Randolph","WV","M","WV.Randolph","Central",38.63488,-79.88203,2552,"GRG","JPA","T-520-a,b","ASY","6x6",9,"partial",63,46.7,3,4.2,10.7,7.2,NA,NA,"blue",10.6,13.3,2,2,2,2,NA,"Not original label","",NA
"606683","Setophaga caerulescens","19","Jun","88","Monongahela Nat'l Forest, Shaver's Fork, 1mi N Hwy 92; 1070m","Randolph","WV","M","WV.Randolph","Central",38.63488,-79.88203,2553,"GRG","JPA","T-521-a,b","ASY","7x5",9.5,"partial",65,52,3.4,3.5,10.5,6.8,NA,NA,"blue",13.4,14,2,2,2,2,NA,"Not original label","",NA
"606684","Setophaga caerulescens","19","Jun","88","Monongahela Nat'l Forest, Shaver's Fork, 2mi N Hwy 92; 1100m","Randolph","WV","M","WV.Randolph","Central",38.63488,-79.88203,2554,"GRG","JPA","T-522-a,b","SY","7x4",8.5,"partial",58.3,50.9,3.4,3.8,10.7,6,NA,NA,"green",6.9,9.5,2,2,2,2,NA,"Not original label","",NA
"606690","Setophaga caerulescens","19","Jun","88","Monongahela Nat'l Forest, Shaver's Fork, 4mi N Hwy 92; 1050m","Randolph","WV","M","WV.Randolph","Central",38.63488,-79.88203,2562,"GRG","JPA","T-530-a,b","SY","7.5x5, 5.5x5",9,"partial",62.2,54.8,2.9,3.9,11.2,7.4,NA,NA,"green",11.2,11.1,2,2,2,2,NA,"Not original label","",NA
"606695","Setophaga caerulescens","19","Jun","88","Monongahela Nat'l Forest, Shaver's Fork, 4mi N Hwy 92; 1100m","Randolph","WV","M","WV.Randolph","Central",38.63488,-79.88203,2567,"GRG","JPA","T-535-a,b","SY","8x6, NA",9.5,"partial",61.9,51.3,3.4,3.9,10.5,6.8,NA,NA,"green",12.5,11.6,2,3,2,2,NA,"R testis not enlarged; not original label","",NA
"606696","Setophaga caerulescens","19","Jun","88","Monongahela Nat'l Forest, Shaver's Fork, 4mi N Hwy 92; 1100m","Randolph","WV","M","WV.Randolph","Central",38.63488,-79.88203,2568,"GRG","JPA","T-563-a,b","SY","8x5, NA",9,"partial",63.7,52.5,3,4.2,10.5,6.9,NA,NA,"green",9.2,8.6,2,2,2,2,NA,"R testis not enlarged; not original label","",NA
"606697","Setophaga caerulescens","21","Jun","88","Monogahela Nat'l Forest; Gauley River; 2mi E Gauley Mills; 660M","Webster","WV","M","WV.Webster","Central",38.3614987,-80.5834224,2569,"GRG","JPA","537-a,b","ASY","9x5.5, NA",9,"partial",65.1,51.2,3.1,3.2,9.4,6.5,NA,NA,"blue",15.8,16,2,2,2,2,NA,"","",NA
"606698","Setophaga caerulescens","21","Jun","88","Monogahela Nat'l Forest;Gauley River, 2mi E. Gauley Mills","Webster","WV","M","WV.Webster","Central",38.3614987,-80.5834224,2570,"GRG","JPA","538-a,b","SY","5x3.5",9.45,"partial",64.7,53.7,3,4.1,9.5,7.4,NA,NA,"green",16.4,14.4,2,2,2,2,NA,"660m elev;  not original label","side very misaligned, but aligned based on wingspot",NA
"606699","Setophaga caerulescens","21","Jun","88","Monogahela Nat'l Forest;Gauley River, 2mi E. Gauley Mills","Webster","WV","M","WV.Webster","Central",38.3614987,-80.5834224,2571,"GRG","JPA","539-a,b","ASY",NA,10,"partial",64.7,56.6,3.1,4.1,10.2,7.2,NA,NA,"blue",12.8,NA,2,2,2,2,NA,"660m elev;  not original label; gonads not seen; some R wing primaries broken","",NA
"606700","Setophaga caerulescens","21","Jun","88","Monogahela Nat'l Forest;Gauley River, 2mi E. Gauley Mills","Webster","WV","M","WV.Webster","Central",38.3614987,-80.5834224,2572,"GRG","JPA","540-a,b","ASY",NA,9,"partial",64.2,52.6,3.1,3.9,9.9,7.3,NA,NA,"blue",13.5,14.8,2,2,2,2,NA,"660m elev; testes destroyed; not original label","",NA
