"ID1","ID2","lat","lon","elevation"
"613654","613654","45.58094","-77.66086","306"
"613657","613657","48.8665693","-86.9761973","321"
"613658","613658","48.8665693","-86.9761973","321"
"613660","613660","48.8665693","-86.9761973","321"
"613661","613661","48.8665693","-86.9761973","321"
"613662","613662","48.8665693","-86.9761973","321"
"613663","613663","48.8665693","-86.9761973","321"
"613669","613669","45.6677817","-77.6868559","182"
"613671","613671","45.6677817","-77.6868559","182"
"613673","613673","45.6677817","-77.6868559","182"
"613676","613676","45.68915","-77.53545","203"
"613677","613677","45.68915","-77.53545","203"
"613690","613690","48.8665693","-86.9761973","321"
"613691","613691","48.8665693","-86.9761973","321"
"614261","614261","45.794","-66.854","171"
"614262","614262","45.82499","-66.919051","138"
"614268","614268","45.82499","-66.919051","138"
"614269","614269","45.82499","-66.919051","138"
"614270","614270","45.82499","-66.919051","138"
"614273","614273","45.75421","-67.18008","194"
"614276","614276","45.71443","-66.86854","141"
"614277","614277","45.71443","-66.86854","141"
"614278","614278","45.71443","-66.86854","141"
"614279","614279","44.9230007","-63.2413358","31"
"614280","614280","44.9230007","-63.2413358","31"
"614281","614281","44.9230007","-63.2413358","31"
"614282","614282","44.9230007","-63.2413358","31"
"614283","614283","44.9144398","-63.3232274","66"
"614284","614284","44.9144398","-63.3232274","66"
"614285","614285","44.9144398","-63.3232274","66"
"614287","614287","45.6711541","-69.4469979","376"
"614288","614288","45.6711541","-69.4469979","376"
"614289","614289","45.617","-69.332","392"
"614293","614293","45.617","-69.332","392"
"614294","614294","45.5990454","-69.5107309","315"
"614297","614297","45.617","-69.332","392"
"614299","614299","45.6711541","-69.4469979","376"
"614302","614302","45.54339","-69.54654","348"
"614305","614305","45.51109","-69.57217","332"
"614307","614307","45.51109","-69.57217","332"
