"ID","photo","pl_code","rep","lumMean","lumSD","area","maxPower","maxFreq","propPower","sumPower","meanPower","powerSD","lwMean","lwSD","mwMean","mwSD","swMean","swSD","uvMean","uvSD","dblMean","dblSD","area_mm2","Species","Day","Month","Year","Locality","County","State.Province","Sex","pop","Region","lat","lon","GRG.no.","Collector","prepartor","tissue.no.","Age","testes.L.R","weight.g","skeleton","wing.R.mm","tail.mm","bill.depth.mm","bill.width.mm","bill.culmen.mm","bill.nares.mm","tarsus1.mm","tarsus2.mm","alula","wing.spot.L.mm","wing.spot.R.mm","dorsal.photoID","side.photoID","crown.photoID","ventral.photoID","file.loc","comments_specimen","comments_analysis","Weight","Tarsometatarsus"
"606621","crown","c","1",0.063940033,0.024473347,84340,0.003259693,127.999999595,0.088007248,0.037038911,0.002178759,0.000600474,0.052550353,0.022146357,0.067694485,0.026251233,0.07992501,0.027831458,0.134176789,0.048529273,0.063940033,0.024473347,63.3064364796397,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","dorsal","d","1",0.073158256,0.007395863,32760,0.001118229,2.828427124,0.128810136,0.008681215,0.00051066,0.000365983,0.066017261,0.00700979,0.075094966,0.008817554,0.0898411,0.012290951,0.098469923,0.008944339,0.073158256,0.007395863,24.5899793582286,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","dorsal","d","2",0.075384228,0.008245743,32942,0.001160347,2.828427124,0.110420469,0.010508445,0.000618144,0.000397109,0.068097044,0.00772287,0.077429623,0.009606007,0.091837407,0.012804718,0.105522464,0.013651184,0.075384228,0.008245743,24.7265903546632,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","dorsal","d","3",0.074908293,0.007302463,33124,0.001180959,2,0.137189475,0.008608231,0.000506367,0.000349265,0.067679828,0.006771685,0.076818319,0.008743059,0.09177712,0.012671858,0.104848637,0.008998263,0.074908293,0.007302463,24.8632013510978,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","side","w","1",0.422159692,0.116918121,52290,0.019595963,45.254833888,0.099308922,0.197323282,0.011607252,0.005656126,0.434219643,0.122883355,0.427160345,0.120127487,0.355546054,0.091440155,0.411562242,0.090457432,0.422159692,0.116918121,39.2493901294802,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","side","o","1",0.094527734,0.015807889,5893,0.010259659,15.999999975,0.115880653,0.088536424,0.005208025,0.002869633,0.098045652,0.019957903,0.095918271,0.017038012,0.093916071,0.01471577,0.100058072,0.010132998,0.094527734,0.015807889,4.42334396697317,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","ventral","b","1",0.439027616,0.038604208,32400,0.005262036,22.627416956,0.101224831,0.05198365,0.003057862,0.001274506,0.455403686,0.042805693,0.444368041,0.041284641,0.363714898,0.032118824,0.436744107,0.03203235,0.439027616,0.038604208,24.3197598048414,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","ventral","b","2",0.380852091,0.039543203,33306,0.004468138,15.999999975,0.083428422,0.053556541,0.003150385,0.001181443,0.387553039,0.044545461,0.384920649,0.042484234,0.331882662,0.030997736,0.41198717,0.033842804,0.380852091,0.039543203,24.9998123475324,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","ventral","b","3",0.360041827,0.034231244,32942,0.004391396,11.313708484,0.092322383,0.047565887,0.002797993,0.001068904,0.372773108,0.037549306,0.366024005,0.036846818,0.304193827,0.029427383,0.306980502,0.027536949,0.360041827,0.034231244,24.7265903546632,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","ventral","t","1",0.055568623,0.009736067,89816,0.001419987,31.999999932,0.083958761,0.016912916,0.000994877,0.000332409,0.052028722,0.011031271,0.056826051,0.010578799,0.069079371,0.010788086,0.065076311,0.008095104,0.055568623,0.009736067,67.4167761306061,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
