"ID","feather_ID","Comments","black segment","clear segment","sum_length","perc_black","perc_clear"
"BW15002","f2","b10",4.957288486088,0.556094462306,5.513382948394,0.899137341354461,0.100862658645539
"BW15002","f2","b2",3.176922737975,NA,3.176922737975,1,NA
"BW15002","f2","b6",4.203813344555,0.47716988982,4.680983234375,0.898062038266687,0.101937961733313
"BW15002","f3","b10",5.044974981492,0.839103384591,5.884078366083,0.857394254055527,0.142605745944473
"BW15002","f3","b2",3.090586435792,0.080101596623,3.170688032415,0.974736840772698,0.0252631592273017
"BW15002","f3","b6",3.907018326647,0.917932053843,4.82495038049,0.809753058279165,0.190246941720835
"BW15004","f1","b1",NA,0.072415653248,0.072415653248,NA,1
"BW15004","f1","b10",3.243943978401,2.511571636592,5.755515614993,0.563623521401035,0.436376478598965
"BW15004","f1","b2",5.09568493898,0.041001523379,5.136686462359,0.992017904211313,0.00798209578868675
"BW15004","f1","b3",3.559952566233,0.203984422,3.763936988233,0.945805569371191,0.0541944306288086
"BW15004","f1","b4",3.557258080107,0.709574220535,4.266832300642,0.833699997905182,0.166300002094818
"BW15004","f1","b5",3.659164583715,1.157074987858,4.816239571573,0.75975551658862,0.24024448341138
"BW15004","f1","b6",3.579920260788,0.779239960544,4.359160221332,0.82124080763751,0.17875919236249
"BW15004","f1","b7",3.99004469779,1.415727321149,5.405772018939,0.738108208006362,0.261891791993638
"BW15004","f1","b8",4.229108643206,1.465726336508,5.694834979714,0.742621807000699,0.257378192999301
"BW15004","f1","b9",4.076113936254,1.717426875758,5.793540812012,0.703561788639309,0.296438211360691
"BW15004","f2","b1",1.962012331167,0.11170435333,2.073716684497,0.946133262000014,0.0538667379999862
"BW15004","f2","b10",4.169966503262,1.290889546635,5.460856049897,0.763610405614089,0.236389594385911
"BW15004","f2","b2",5.436380230386,NA,5.436380230386,1,NA
"BW15004","f2","b3",NA,0.080101596623,0.080101596623,NA,1
"BW15004","f2","b4",3.743901293357,0.204743906516,3.948645199873,0.94814831514298,0.0518516848570201
"BW15004","f2","b5",4.285502914437,0.326172997241,4.611675911678,0.929272350553723,0.0707276494462767
"BW15004","f2","b6",4.144232208303,0.774332545286,4.918564753589,0.842569411184232,0.157430588815768
"BW15004","f2","b7",4.549343461404,0.570445020387,5.119788481791,0.888580353970513,0.111419646029487
"BW15004","f2","b8",4.999652966338,0.777171345,5.776824311338,0.865467373921227,0.134532626078773
"BW15004","f2","b9",4.855535499589,0.845019054885,5.700554554474,0.851765464778896,0.148234535221104
"BW15004","f3","b1",1.982894404732,0.381427117096,2.364321521828,0.838673753305305,0.161326246694695
"BW15004","f3","b10",5.20489650903,0.951999386058,6.156895895088,0.84537672842292,0.15462327157708
"BW15004","f3","b2",2.389319295048,0.319104582045,2.708423877093,0.882180708587054,0.117819291412946
"BW15004","f3","b3",2.882729707707,0.087201011677,2.969930719384,0.970638705102493,0.0293612948975074
"BW15004","f3","b4",3.316583832486,0.351409189783,3.667993022269,0.904195785638213,0.0958042143617875
"BW15004","f3","b5",4.005188127857,0.073367104949,4.078555232806,0.982011496532186,0.0179885034678136
"BW15004","f3","b6",4.354012657642,0.485187060717,4.839199718359,0.899738161482302,0.100261838517698
"BW15004","f3","b7",4.547781792362,0.495197277997,5.042979070359,0.90180461368408,0.0981953863159198
"BW15004","f3","b8",3.289059803667,NA,3.289059803667,1,NA
"BW15004","f3","b9",4.897660088533,0.117886338013,5.015546426546,0.97649581361882,0.0235041863811803
"BW15004","L_f1","b1",NA,0.072415653248,0.072415653248,NA,1
"BW15004","L_f1","b10",3.243943978401,2.511571636592,5.755515614993,0.563623521401035,0.436376478598965
"BW15004","L_f1","b2",5.09568493898,0.041001523379,5.136686462359,0.992017904211313,0.00798209578868675
"BW15004","L_f1","b3",3.559952566233,0.203984422,3.763936988233,0.945805569371191,0.0541944306288086
"BW15004","L_f1","b4",3.557258080107,0.709574220535,4.266832300642,0.833699997905182,0.166300002094818
"BW15004","L_f1","b5",3.659164583715,1.157074987858,4.816239571573,0.75975551658862,0.24024448341138
"BW15004","L_f1","b6",3.579920260788,0.779239960544,4.359160221332,0.82124080763751,0.17875919236249
"BW15004","L_f1","b7",3.99004469779,1.415727321149,5.405772018939,0.738108208006362,0.261891791993638
"BW15004","L_f1","b8",4.229108643206,1.465726336508,5.694834979714,0.742621807000699,0.257378192999301
"BW15004","L_f1","b9",4.076113936254,1.717426875758,5.793540812012,0.703561788639309,0.296438211360691
"BW15004","L_f2","b1",1.962012331167,0.11170435333,2.073716684497,0.946133262000014,0.0538667379999862
"BW15004","L_f2","b10",4.169966503262,1.290889546635,5.460856049897,0.763610405614089,0.236389594385911
"BW15004","L_f2","b2",5.436380230386,NA,5.436380230386,1,NA
"BW15004","L_f2","b3",NA,0.080101596623,0.080101596623,NA,1
"BW15004","L_f2","b4",3.743901293357,0.204743906516,3.948645199873,0.94814831514298,0.0518516848570201
"BW15004","L_f2","b5",4.285502914437,0.326172997241,4.611675911678,0.929272350553723,0.0707276494462767
"BW15004","L_f2","b6",4.144232208303,0.774332545286,4.918564753589,0.842569411184232,0.157430588815768
"BW15004","L_f2","b7",4.549343461404,0.570445020387,5.119788481791,0.888580353970513,0.111419646029487
"BW15004","L_f2","b8",4.999652966338,0.777171345,5.776824311338,0.865467373921227,0.134532626078773
"BW15004","L_f2","b9",4.855535499589,0.845019054885,5.700554554474,0.851765464778896,0.148234535221104
"BW15004","L_f3","b1",1.982894404732,0.381427117096,2.364321521828,0.838673753305305,0.161326246694695
"BW15004","L_f3","b10",5.20489650903,0.951999386058,6.156895895088,0.84537672842292,0.15462327157708
"BW15004","L_f3","b2",2.389319295048,0.319104582045,2.708423877093,0.882180708587054,0.117819291412946
"BW15004","L_f3","b3",2.882729707707,0.087201011677,2.969930719384,0.970638705102493,0.0293612948975074
"BW15004","L_f3","b4",3.316583832486,0.351409189783,3.667993022269,0.904195785638213,0.0958042143617875
"BW15004","L_f3","b5",4.005188127857,0.073367104949,4.078555232806,0.982011496532186,0.0179885034678136
"BW15004","L_f3","b6",4.354012657642,0.485187060717,4.839199718359,0.899738161482302,0.100261838517698
"BW15004","L_f3","b7",4.547781792362,0.495197277997,5.042979070359,0.90180461368408,0.0981953863159198
"BW15004","L_f3","b8",3.289059803667,NA,3.289059803667,1,NA
"BW15004","L_f3","b9",4.897660088533,0.117886338013,5.015546426546,0.97649581361882,0.0235041863811803
"BW15004","R_f1","b10",1.157800480767,5.31549471597,6.473295196737,0.178857976591368,0.821142023408632
"BW15004","R_f1","b2",2.528728513514,0.186715757192,2.715444270706,0.931239333759755,0.0687606662402447
"BW15004","R_f1","b6",3.225591433445,1.974132313649,5.199723747094,0.620339000749358,0.379660999250642
"BW15004","R_f2","b10",1.631885241603,4.55745419528,6.189339436883,0.263660647189328,0.736339352810672
"BW15004","R_f2","b2",2.656024979056,0.144831306495,2.800856285551,0.948290347047739,0.0517096529522606
"BW15004","R_f2","b6",3.036616521435,2.087952019021,5.124568540456,0.592560426787616,0.407439573212384
"BW15004","R_f3","b10",2.104293798055,4.87922071589,6.983514513945,0.30132303639565,0.69867696360435
"BW15004","R_f3","b2",2.683815862096,0.330682537867,3.014498399963,0.890302632812458,0.109697367187542
"BW15004","R_f3","b6",4.25647466861,1.424823222257,5.681297890867,0.749208147570033,0.250791852429967
"BW15005","L_f1","b10",0.540965031084,5.145514743033,5.686479774117,0.0951317955172014,0.904868204482799
"BW15005","L_f1","b2",NA,2.403435840397,2.403435840397,NA,1
"BW15005","L_f1","b6",0.634251225815,4.041165153935,4.67541637975,0.135656629121215,0.864343370878785
"BW15005","L_f2","b10",NA,4.351948565431,4.351948565431,NA,1
"BW15005","L_f2","b2",NA,1.597676432126,1.597676432126,NA,1
"BW15005","L_f2","b6",NA,3.226821568587,3.226821568587,NA,1
"BW15005","L_f3","b10",NA,4.704473536916,4.704473536916,NA,1
"BW15005","L_f3","b2",0.047777935268,1.562742826802,1.61052076207,0.029666140538661,0.970333859461339
"BW15005","L_f3","b6",NA,3.726757301871,3.726757301871,NA,1
