"ID","pl_code","lumMean","lumSD","lwMean","lwSD","mwMean","mwSD","swMean","swSD","uvMean","uvSD","dblMean","dblSD","area_mm2","Species","Day","Month","Year","Locality","County","State.Province","Sex","pop","Region","lat","lon","GRG.no.","Collector","prepartor","tissue.no.","Age","testes.L.R","weight.g","skeleton","wing.R.mm","tail.mm","bill.depth.mm","bill.width.mm","bill.culmen.mm","bill.nares.mm","tarsus1.mm","tarsus2.mm","alula","wing.spot.L.mm","wing.spot.R.mm","dorsal.photoID","side.photoID","crown.photoID","ventral.photoID","file.loc","comments_specimen","comments_analysis","Weight","Tarsometatarsus"
"606621","t",0.055568623,0.009736067,0.052028722,0.011031271,0.056826051,0.010578799,0.069079371,0.010788086,0.065076311,0.008095104,0.055568623,0.009736067,67.4167761306061,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","w",0.422159692,0.116918121,0.434219643,0.122883355,0.427160345,0.120127487,0.355546054,0.091440155,0.411562242,0.090457432,0.422159692,0.116918121,39.2493901294802,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606622","b",0.391988560333333,0.037391824,0.398739288,0.040721652,0.394904588666667,0.0398742103333333,0.343180924333333,0.0333024716666667,0.421341159,0.038979797,0.391988560333333,0.037391824,24.5456933758679,"Setophaga caerulescens",13,"Jun",88,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2491,"GRG","JPA","T-459-a,b","ASY","5x5, NA",10.5,"partial",66.2,53.6,2.8,3.5,10.8,6.8,NA,NA,"blue",19.9,20.7,2,2,2,2,NA,"gonads mushy; Not original label","",NA,19.15
"606622","c",0.074811538,0.026532984,0.060572467,0.021252681,0.078596511,0.027811574,0.094681822,0.035297071,0.155677654,0.050402443,0.074811538,0.026532984,66.1857759429537,"Setophaga caerulescens",13,"Jun",88,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2491,"GRG","JPA","T-459-a,b","ASY","5x5, NA",10.5,"partial",66.2,53.6,2.8,3.5,10.8,6.8,NA,NA,"blue",19.9,20.7,2,2,2,2,NA,"gonads mushy; Not original label","",NA,19.15
"606622","d",0.048140439,0.00832934266666667,0.0432938563333333,0.008965714,0.049714135,0.00962166266666667,0.063614148,0.010404843,0.0643878236666667,0.0115656176666667,0.048140439,0.00832934266666667,25.643335209858,"Setophaga caerulescens",13,"Jun",88,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2491,"GRG","JPA","T-459-a,b","ASY","5x5, NA",10.5,"partial",66.2,53.6,2.8,3.5,10.8,6.8,NA,NA,"blue",19.9,20.7,2,2,2,2,NA,"gonads mushy; Not original label","",NA,19.15
"606622","o",0.069103122,0.013569863,0.066095279,0.0161008,0.071037404,0.014274673,0.079054584,0.010603576,0.087414921,0.012965043,0.069103122,0.013569863,6.7262150497279,"Setophaga caerulescens",13,"Jun",88,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2491,"GRG","JPA","T-459-a,b","ASY","5x5, NA",10.5,"partial",66.2,53.6,2.8,3.5,10.8,6.8,NA,NA,"blue",19.9,20.7,2,2,2,2,NA,"gonads mushy; Not original label","",NA,19.15
"606622","t",0.049694222,0.009113036,0.044439056,0.009890879,0.050973169,0.010151072,0.066229454,0.011377093,0.058865923,0.010306475,0.049694222,0.009113036,68.8339275661475,"Setophaga caerulescens",13,"Jun",88,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2491,"GRG","JPA","T-459-a,b","ASY","5x5, NA",10.5,"partial",66.2,53.6,2.8,3.5,10.8,6.8,NA,NA,"blue",19.9,20.7,2,2,2,2,NA,"gonads mushy; Not original label","",NA,19.15
"606622","w",0.436045519,0.107483793,0.449743981,0.115507902,0.44604712,0.111058264,0.355512799,0.075549615,0.394650455,0.071446156,0.436045519,0.107483793,56.7453556014262,"Setophaga caerulescens",13,"Jun",88,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2491,"GRG","JPA","T-459-a,b","ASY","5x5, NA",10.5,"partial",66.2,53.6,2.8,3.5,10.8,6.8,NA,NA,"blue",19.9,20.7,2,2,2,2,NA,"gonads mushy; Not original label","",NA,19.15
"606623","b",0.442313018333333,0.0361102166666667,0.451426683,0.0395665016666667,0.448707281666667,0.0397264183333333,0.3741205,0.030388687,0.462934580666667,0.0337330606666667,0.442313018333333,0.0361102166666667,24.6818039657221,"Setophaga caerulescens",13,"Jun",89,"Stoney Creek, 12mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2492,"GRG","JPA","460-a,b","ASY","7x5.5, NA",9,"partial",66.3,50.7,2.8,4.2,11,7.4,NA,NA,"blue",14.1,17.2,2,2,2,2,NA,"not original tag","auto-align",NA,19.23
"606623","c",0.083311128,0.031533362,0.068395617,0.031879208,0.087034684,0.033427583,0.103398397,0.032474138,0.168403318,0.061011547,0.083311128,0.031533362,52.1095890410959,"Setophaga caerulescens",13,"Jun",89,"Stoney Creek, 12mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2492,"GRG","JPA","460-a,b","ASY","7x5.5, NA",9,"partial",66.3,50.7,2.8,4.2,11,7.4,NA,NA,"blue",14.1,17.2,2,2,2,2,NA,"not original tag","auto-align",NA,19.23
