"USNM.no.","Year","lat","lon","Tmax08_molt","Tmin08_molt","Tave08_molt","PPT08_molt","RH08_molt","CMI08_molt","moltYear"
608624,93,40.23369,-78.66564,21.3,13,17.1,82,74,0.6,92
608626,93,40.23369,-78.66564,21.3,13,17.1,82,74,0.6,92
608628,93,40.22306,-78.66237,22.3,12.7,17.5,80,71,-0.4,92
608629,93,40.24508,-78.68679,21.2,13.1,17.1,84,75,0.91,92
608630,93,40.24508,-78.68679,21.2,13.1,17.1,84,75,0.91,92
608631,93,40.22304,-78.66463,22.3,12.7,17.5,80,71,-0.4,92
608641,93,40.761,-78.204,23.8,12,17.9,100,64,0.33,92
608642,93,40.761,-78.204,23.8,12,17.9,100,64,0.33,92
608648,93,40.764,-78.198,23.8,12,17.9,100,64,0.33,92
610037,96,35.34761,-84.02686,25.5,14.3,19.9,154,67,4.01,95
610045,96,35.34761,-84.02686,25.5,14.3,19.9,154,67,4.01,95
610049,96,35.34761,-84.02686,25.5,14.3,19.9,154,67,4.01,95
610052,96,35.34761,-84.02686,25.5,14.3,19.9,154,67,4.01,95
610062,96,35.33751,-84.03101,25.3,14.1,19.7,157,67,4.4,95
610065,96,35.33751,-84.03101,25.3,14.1,19.7,157,67,4.4,95
610076,96,35.35231,-83.99466,25.6,14.3,20,158,66,4.36,95
612854,89,35.00456,-83.05503,28.2,17,22.6,154,67,2.83,88
612855,89,35.00284,-83.05467,28.2,17,22.6,154,67,2.83,88
612856,89,35.00456,-83.05503,28.2,17,22.6,154,67,2.83,88
612857,89,34.96542,-83.09102,28.6,17.3,23,145,67,1.67,88
612859,89,35.00456,-83.05503,28.2,17,22.6,154,67,2.83,88
612863,89,35.00456,-83.05503,28.2,17,22.6,154,67,2.83,88
612865,89,35.00284,-83.05467,28.2,17,22.6,154,67,2.83,88
612867,89,35.00456,-83.05503,28.2,17,22.6,154,67,2.83,88
612879,89,34.77231,-84.01383,28.2,15.8,22,124,64,-0.72,88
612880,89,34.77231,-84.01383,28.2,15.8,22,124,64,-0.72,88
612881,89,34.77231,-84.01383,28.2,15.8,22,124,64,-0.72,88
612882,89,34.77231,-84.01383,28.2,15.8,22,124,64,-0.72,88
612883,89,34.76412,-84.00542,28.5,16,22.2,123,64,-0.99,88
612884,89,34.76412,-84.00542,28.5,16,22.2,123,64,-0.99,88
612886,89,34.76412,-84.00542,28.5,16,22.2,123,64,-0.99,88
612889,89,34.76163,-84.00799,28.5,16.1,22.3,124,64,-0.85,88
612890,89,34.76412,-84.00542,28.5,16,22.2,123,64,-0.99,88
612897,89,36.16526,-82.13095,25.9,14.5,20.2,104,66,-1.19,88
612898,89,36.16526,-82.13095,25.9,14.5,20.2,104,66,-1.19,88
612907,89,36.13795,-82.33957,28.7,15.3,22,98,61,-4.07,88
612911,89,36.16526,-82.13095,25.9,14.5,20.2,104,66,-1.19,88
612912,89,36.17533,-82.12236,26.4,14.6,20.5,105,65,-1.45,88
612914,89,36.16526,-82.13095,25.9,14.5,20.2,104,66,-1.19,88
612915,89,36.16526,-82.13095,25.9,14.5,20.2,104,66,-1.19,88
612916,89,36.17533,-82.12236,26.4,14.6,20.5,105,65,-1.45,88
612917,89,36.17533,-82.12236,26.4,14.6,20.5,105,65,-1.45,88
612918,89,36.14038,-82.27038,26.4,14.6,20.5,103,65,-1.68,88
