ID lon lat srtm PPT_sm PPT_sp Tave_sm Tave_sp
606619 -82.525983 36.87043 904 344.371378892408 408.396923531489 20.4975911559954 11.0987255385578
606621 -82.525983 36.87043 904 344.371378892408 408.396923531489 20.4975911559954 11.0987255385578
606622 -82.525983 36.87043 904 344.371378892408 408.396923531489 20.4975911559954 11.0987255385578
606623 -80.57508 37.37291 1016 309.772937589191 318.183458305728 19.5227482803117 9.09103485691628
606633 -82.542415 36.879225 916 351.138801836173 401.374640799526 20.3776723126668 10.9965302098339
606634 -82.542415 36.879225 916 351.138801836173 401.374640799526 20.3776723126668 10.9965302098339
606637 -80.57508 37.37291 1016 309.772937589191 318.183458305728 19.5227482803117 9.09103485691628
606639 -82.574 36.879 948 358.103650810824 410.021111330992 20.2684099999984 10.8684103814681
606641 -82.574 36.879 948 358.103650810824 410.021111330992 20.2684099999984 10.8684103814681
606642 -82.525983 36.87043 904 344.371378892408 408.396923531489 20.4975911559954 11.0987255385578
606643 -82.525983 36.87043 904 344.371378892408 408.396923531489 20.4975911559954 11.0987255385578
606647 -80.57508 37.37291 1016 309.772937589191 318.183458305728 19.5227482803117 9.09103485691628
606654 -80.57508 37.37291 1016 309.772937589191 318.183458305728 19.5227482803117 9.09103485691628
606655 -82.525983 36.87043 904 344.371378892408 408.396923531489 20.4975911559954 11.0987255385578
606656 -82.525983 36.87043 904 344.371378892408 408.396923531489 20.4975911559954 11.0987255385578
606657 -82.525983 36.87043 904 344.371378892408 408.396923531489 20.4975911559954 11.0987255385578
606662 -80.57508 37.37291 1016 309.772937589191 318.183458305728 19.5227482803117 9.09103485691628
606673 -80.5834224 38.3614987 664 404.814403570612 370.047566596972 20.16961493987 9.77437104550781
606674 -80.5834224 38.3614987 664 404.814403570612 370.047566596972 20.16961493987 9.77437104550781
606675 -80.5834224 38.3614987 664 404.814403570612 370.047566596972 20.16961493987 9.77437104550781
606681 -79.88203 38.63488 1139 409.202135839993 382.11558311117 16.5542162557796 5.90562125690485
606682 -79.88203 38.63488 1139 409.202135839993 382.11558311117 16.5542162557796 5.90562125690485
606683 -79.88203 38.63488 1139 409.202135839993 382.11558311117 16.5542162557796 5.90562125690485
606684 -79.88203 38.63488 1139 409.202135839993 382.11558311117 16.5542162557796 5.90562125690485
606690 -79.88203 38.63488 1139 409.202135839993 382.11558311117 16.5542162557796 5.90562125690485
606695 -79.88203 38.63488 1139 409.202135839993 382.11558311117 16.5542162557796 5.90562125690485
606696 -79.88203 38.63488 1139 409.202135839993 382.11558311117 16.5542162557796 5.90562125690485
606697 -80.5834224 38.3614987 664 404.814403570612 370.047566596972 20.16961493987 9.77437104550781
606698 -80.5834224 38.3614987 664 404.814403570612 370.047566596972 20.16961493987 9.77437104550781
606699 -80.5834224 38.3614987 664 404.814403570612 370.047566596972 20.16961493987 9.77437104550781
