"ID","Age","pop","lat","lon","prepartor","area_mm2","lumMean_b","lumMean_c","lumMean_d","lumMean_o","lumMean_t","lumMean_w","lumSD_b","lumSD_c","lumSD_d","lumSD_o","lumSD_t","lumSD_w","lwMean_b","lwMean_c","lwMean_d","lwMean_o","lwMean_t","lwMean_w","lwSD_b","lwSD_c","lwSD_d","lwSD_o","lwSD_t","lwSD_w","mwMean_b","mwMean_c","mwMean_d","mwMean_o","mwMean_t","mwMean_w","mwSD_b","mwSD_c","mwSD_d","mwSD_o","mwSD_t","mwSD_w","swMean_b","swMean_c","swMean_d","swMean_o","swMean_t","swMean_w","swSD_b","swSD_c","swSD_d","swSD_o","swSD_t","swSD_w","uvMean_b","uvMean_c","uvMean_d","uvMean_o","uvMean_t","uvMean_w","uvSD_b","uvSD_c","uvSD_d","uvSD_o","uvSD_t","uvSD_w","dblMean_b","dblMean_c","dblMean_d","dblMean_o","dblMean_t","dblMean_w","dblSD_b","dblSD_c","dblSD_d","dblSD_o","dblSD_t","dblSD_w","area_b","area_c","area_d","area_o","area_t","area_w"
"606621","SY","VA.Wise",36.87043,-82.525983,"JPA",67.4167761306061,NA,NA,NA,NA,0.055568623,NA,NA,NA,NA,NA,0.009736067,NA,NA,NA,NA,NA,0.052028722,NA,NA,NA,NA,NA,0.011031271,NA,NA,NA,NA,NA,0.056826051,NA,NA,NA,NA,NA,0.010578799,NA,NA,NA,NA,NA,0.069079371,NA,NA,NA,NA,NA,0.010788086,NA,NA,NA,NA,NA,0.065076311,NA,NA,NA,NA,NA,0.008095104,NA,NA,NA,NA,NA,0.055568623,NA,NA,NA,NA,NA,0.009736067,NA,NA,NA,NA,NA,89816,NA
"606621","SY","VA.Wise",36.87043,-82.525983,"JPA",39.2493901294802,NA,NA,NA,NA,NA,0.422159692,NA,NA,NA,NA,NA,0.116918121,NA,NA,NA,NA,NA,0.434219643,NA,NA,NA,NA,NA,0.122883355,NA,NA,NA,NA,NA,0.427160345,NA,NA,NA,NA,NA,0.120127487,NA,NA,NA,NA,NA,0.355546054,NA,NA,NA,NA,NA,0.091440155,NA,NA,NA,NA,NA,0.411562242,NA,NA,NA,NA,NA,0.090457432,NA,NA,NA,NA,NA,0.422159692,NA,NA,NA,NA,NA,0.116918121,NA,NA,NA,NA,NA,52290
"606622","ASY","VA.Wise",36.87043,-82.525983,"JPA",24.5456933758679,0.391988560333333,NA,NA,NA,NA,NA,0.037391824,NA,NA,NA,NA,NA,0.398739288,NA,NA,NA,NA,NA,0.040721652,NA,NA,NA,NA,NA,0.394904588666667,NA,NA,NA,NA,NA,0.0398742103333333,NA,NA,NA,NA,NA,0.343180924333333,NA,NA,NA,NA,NA,0.0333024716666667,NA,NA,NA,NA,NA,0.421341159,NA,NA,NA,NA,NA,0.038979797,NA,NA,NA,NA,NA,0.391988560333333,NA,NA,NA,NA,NA,0.037391824,NA,NA,NA,NA,NA,32701,NA,NA,NA,NA,NA
"606622","ASY","VA.Wise",36.87043,-82.525983,"JPA",66.1857759429537,NA,0.074811538,NA,NA,NA,NA,NA,0.026532984,NA,NA,NA,NA,NA,0.060572467,NA,NA,NA,NA,NA,0.021252681,NA,NA,NA,NA,NA,0.078596511,NA,NA,NA,NA,NA,0.027811574,NA,NA,NA,NA,NA,0.094681822,NA,NA,NA,NA,NA,0.035297071,NA,NA,NA,NA,NA,0.155677654,NA,NA,NA,NA,NA,0.050402443,NA,NA,NA,NA,NA,0.074811538,NA,NA,NA,NA,NA,0.026532984,NA,NA,NA,NA,NA,88176,NA,NA,NA,NA
"606622","ASY","VA.Wise",36.87043,-82.525983,"JPA",25.643335209858,NA,NA,0.048140439,NA,NA,NA,NA,NA,0.00832934266666667,NA,NA,NA,NA,NA,0.0432938563333333,NA,NA,NA,NA,NA,0.008965714,NA,NA,NA,NA,NA,0.049714135,NA,NA,NA,NA,NA,0.00962166266666667,NA,NA,NA,NA,NA,0.063614148,NA,NA,NA,NA,NA,0.010404843,NA,NA,NA,NA,NA,0.0643878236666667,NA,NA,NA,NA,NA,0.0115656176666667,NA,NA,NA,NA,NA,0.048140439,NA,NA,NA,NA,NA,0.00832934266666667,NA,NA,NA,NA,NA,34163.3333333333,NA,NA,NA
"606622","ASY","VA.Wise",36.87043,-82.525983,"JPA",6.7262150497279,NA,NA,NA,0.069103122,NA,NA,NA,NA,NA,0.013569863,NA,NA,NA,NA,NA,0.066095279,NA,NA,NA,NA,NA,0.0161008,NA,NA,NA,NA,NA,0.071037404,NA,NA,NA,NA,NA,0.014274673,NA,NA,NA,NA,NA,0.079054584,NA,NA,NA,NA,NA,0.010603576,NA,NA,NA,NA,NA,0.087414921,NA,NA,NA,NA,NA,0.012965043,NA,NA,NA,NA,NA,0.069103122,NA,NA,NA,NA,NA,0.013569863,NA,NA,NA,NA,NA,8961,NA,NA
"606622","ASY","VA.Wise",36.87043,-82.525983,"JPA",68.8339275661475,NA,NA,NA,NA,0.049694222,NA,NA,NA,NA,NA,0.009113036,NA,NA,NA,NA,NA,0.044439056,NA,NA,NA,NA,NA,0.009890879,NA,NA,NA,NA,NA,0.050973169,NA,NA,NA,NA,NA,0.010151072,NA,NA,NA,NA,NA,0.066229454,NA,NA,NA,NA,NA,0.011377093,NA,NA,NA,NA,NA,0.058865923,NA,NA,NA,NA,NA,0.010306475,NA,NA,NA,NA,NA,0.049694222,NA,NA,NA,NA,NA,0.009113036,NA,NA,NA,NA,NA,91704,NA
"606622","ASY","VA.Wise",36.87043,-82.525983,"JPA",56.7453556014262,NA,NA,NA,NA,NA,0.436045519,NA,NA,NA,NA,NA,0.107483793,NA,NA,NA,NA,NA,0.449743981,NA,NA,NA,NA,NA,0.115507902,NA,NA,NA,NA,NA,0.44604712,NA,NA,NA,NA,NA,0.111058264,NA,NA,NA,NA,NA,0.355512799,NA,NA,NA,NA,NA,0.075549615,NA,NA,NA,NA,NA,0.394650455,NA,NA,NA,NA,NA,0.071446156,NA,NA,NA,NA,NA,0.436045519,NA,NA,NA,NA,NA,0.107483793,NA,NA,NA,NA,NA,75599
"606623","ASY","VA.Giles",37.37291,-80.57508,"JPA",24.6818039657221,0.442313018333333,NA,NA,NA,NA,NA,0.0361102166666667,NA,NA,NA,NA,NA,0.451426683,NA,NA,NA,NA,NA,0.0395665016666667,NA,NA,NA,NA,NA,0.448707281666667,NA,NA,NA,NA,NA,0.0397264183333333,NA,NA,NA,NA,NA,0.3741205,NA,NA,NA,NA,NA,0.030388687,NA,NA,NA,NA,NA,0.462934580666667,NA,NA,NA,NA,NA,0.0337330606666667,NA,NA,NA,NA,NA,0.442313018333333,NA,NA,NA,NA,NA,0.0361102166666667,NA,NA,NA,NA,NA,32882.3333333333,NA,NA,NA,NA,NA
"606623","ASY","VA.Giles",37.37291,-80.57508,"JPA",52.1095890410959,NA,1.227911831,NA,NA,NA,NA,NA,0.663296027,NA,NA,NA,NA,NA,7.252323423,NA,NA,NA,NA,NA,3.325900681,NA,NA,NA,NA,NA,-1.443439062,NA,NA,NA,NA,NA,0.605740094,NA,NA,NA,NA,NA,-0.046912135,NA,NA,NA,NA,NA,0.206551055,NA,NA,NA,NA,NA,0.074581599,NA,NA,NA,NA,NA,0.10670456,NA,NA,NA,NA,NA,1.227911831,NA,NA,NA,NA,NA,0.663296027,NA,NA,NA,NA,NA,69423,NA,NA,NA,NA
