ID lon lat PPT_br Rad_br RH_br Tave_br Tmax_br Tmin_br ndvi_M srtm
606619 -82.525983 36.87043 110.293207616604 171.381899792573 66.3109654768525 20.4382775728877 26.9317135019058 13.4873623306172 9371 904
606621 -82.525983 36.87043 110.293207616604 171.381899792573 66.3109654768525 20.4382775728877 26.9317135019058 13.4873623306172 9371 904
606622 -82.525983 36.87043 110.293207616604 171.381899792573 66.3109654768525 20.4382775728877 26.9317135019058 13.4873623306172 9371 904
606623 -80.57508 37.37291 100.483361464747 173.955838853733 67.1470472163265 19.1424296129058 25.5839158443269 12.2544040990453 9236 1016
606627 -80.57508 37.37291 100.483361464747 173.955838853733 67.1470472163265 19.1424296129058 25.5839158443269 12.2544040990453 9236 1016
606633 -82.542415 36.879225 113.014507413023 169.873926703093 66.0861183346335 20.2775074343508 26.7688960238066 13.2947311537315 9746 916
606634 -82.542415 36.879225 113.014507413023 169.873926703093 66.0861183346335 20.2775074343508 26.7688960238066 13.2947311537315 9746 916
606637 -80.57508 37.37291 100.483361464747 173.955838853733 67.1470472163265 19.1424296129058 25.5839158443269 12.2544040990453 9236 1016
606639 -82.574 36.879 115.966400287068 173.055108772399 65.5062507488187 20.1727641424909 26.7221383791625 13.0740142339015 9254 948
606641 -82.574 36.879 115.966400287068 173.055108772399 65.5062507488187 20.1727641424909 26.7221383791625 13.0740142339015 9254 948
606642 -82.525983 36.87043 110.293207616604 171.381899792573 66.3109654768525 20.4382775728877 26.9317135019058 13.4873623306172 9371 904
606643 -82.525983 36.87043 110.293207616604 171.381899792573 66.3109654768525 20.4382775728877 26.9317135019058 13.4873623306172 9371 904
606647 -80.57508 37.37291 100.483361464747 173.955838853733 67.1470472163265 19.1424296129058 25.5839158443269 12.2544040990453 9236 1016
606654 -80.57508 37.37291 100.483361464747 173.955838853733 67.1470472163265 19.1424296129058 25.5839158443269 12.2544040990453 9236 1016
606655 -82.525983 36.87043 110.293207616604 171.381899792573 66.3109654768525 20.4382775728877 26.9317135019058 13.4873623306172 9371 904
606656 -82.525983 36.87043 110.293207616604 171.381899792573 66.3109654768525 20.4382775728877 26.9317135019058 13.4873623306172 9371 904
606657 -82.525983 36.87043 110.293207616604 171.381899792573 66.3109654768525 20.4382775728877 26.9317135019058 13.4873623306172 9371 904
606662 -80.57508 37.37291 100.483361464747 173.955838853733 67.1470472163265 19.1424296129058 25.5839158443269 12.2544040990453 9236 1016
606663 -80.57508 37.37291 100.483361464747 173.955838853733 67.1470472163265 19.1424296129058 25.5839158443269 12.2544040990453 9236 1016
606673 -80.5834224 38.3614987 134.000438910868 171.637847763619 62.0648437142869 19.8951615853236 27.1425286435046 12.0004274870732 8268 664
606674 -80.5834224 38.3614987 134.000438910868 171.637847763619 62.0648437142869 19.8951615853236 27.1425286435046 12.0004274870732 8268 664
606675 -80.5834224 38.3614987 134.000438910868 171.637847763619 62.0648437142869 19.8951615853236 27.1425286435046 12.0004274870732 8268 664
606681 -79.88203 38.63488 136.261270420074 180.01374333896 64.2011323611987 16.3352853608567 23.2271834641333 9.18752264432993 9107 1139
606682 -79.88203 38.63488 136.261270420074 180.01374333896 64.2011323611987 16.3352853608567 23.2271834641333 9.18752264432993 9107 1139
606683 -79.88203 38.63488 136.261270420074 180.01374333896 64.2011323611987 16.3352853608567 23.2271834641333 9.18752264432993 9107 1139
606684 -79.88203 38.63488 136.261270420074 180.01374333896 64.2011323611987 16.3352853608567 23.2271834641333 9.18752264432993 9107 1139
606690 -79.88203 38.63488 136.261270420074 180.01374333896 64.2011323611987 16.3352853608567 23.2271834641333 9.18752264432993 9107 1139
606695 -79.88203 38.63488 136.261270420074 180.01374333896 64.2011323611987 16.3352853608567 23.2271834641333 9.18752264432993 9107 1139
606696 -79.88203 38.63488 136.261270420074 180.01374333896 64.2011323611987 16.3352853608567 23.2271834641333 9.18752264432993 9107 1139
606697 -80.5834224 38.3614987 134.000438910868 171.637847763619 62.0648437142869 19.8951615853236 27.1425286435046 12.0004274870732 8268 664
606698 -80.5834224 38.3614987 134.000438910868 171.637847763619 62.0648437142869 19.8951615853236 27.1425286435046 12.0004274870732 8268 664
606699 -80.5834224 38.3614987 134.000438910868 171.637847763619 62.0648437142869 19.8951615853236 27.1425286435046 12.0004274870732 8268 664
606700 -80.5834224 38.3614987 134.000438910868 171.637847763619 62.0648437142869 19.8951615853236 27.1425286435046 12.0004274870732 8268 664
608313 -78.0898 40.92719 105.195829301345 173.432420065911 62.3333333333333 18.7884672221851 26.1832936139823 11.1388635193955 8921 634
608314 -78.05871 40.86828 103.668373578414 174.864023635125 62.5343057562142 18.8256022675833 26.1737213826868 11.2293626002029 8956 621
