"Image Name","BW15005_f2"
"Created Date","	6/8/2023 4:47:07 PM"
"Specimen","BW15005_R_f2"
"Description","right side of feather 2"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)","Count"
"1","","Count","","barb length","-","-","-","-","10"
"2","","Segment","b2","clear segment","1.933520026462","1.920481535938","0.149179379630","1.923624729153","-"
"3","","Segment","b6","clear segment","3.030891829829","2.941596463021","0.526053601852","2.979703403861","-"
"4","","Segment","b10","clear segment","4.647364834973","4.288682693750","1.295505138889","4.473327321147","-"
