"Image Name","BW15113_L_f3"
"Created Date","	6/12/2023 2:28:01 PM"
"Specimen","BW15113_L_f3"
"Description","left side of feather 3"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)","Count"
"1","","Count","","clear segment","-","-","-","-","10"
"2","","Segment","b2","clear segment","0.762959372092","0.746199369792","0.157030925926","0.762543252003","-"
"3","","Segment","b2","clear segment","0.123251910513","0.113893588021","0.047109277778","0.123251910513","-"
"4","","Segment","b2","black segment","0.808673053418","0.738344639583","0.329764944444","0.808639428538","-"
"5","","Segment","b2","black segment","0.803930943334","0.757981465104","0.266952574074","0.803616561705","-"
"6","","Segment","b6","black segment","0.136996521354","0.121748318229","0.062812370370","0.136996521354","-"
"7","","Segment","b6","black segment","0.399713905842","0.333826033854","0.219843296296","0.399713517166","-"
"8","","Segment","b6","clear segment","2.275597295180","1.810515313021","1.377946375000","2.275236671439","-"
"9","","Segment","b6","clear segment","0.939543650803","0.801182481250","0.490721643519","0.939521739865","-"
"10","","Segment","b6","clear segment","0.794128394841","0.714780448958","0.345468037037","0.793888691711","-"
"11","","Segment","b6","clear segment","5.711208675326","4.701056029688","3.230911300926","5.704271700113","-"
