"Image Name","BW15004_R_f2"
"Created Date","	6/12/2023 2:12:09 PM"
"Specimen","BW15004_R_f2"
"Description","right side of feather 2"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)","Count"
"1","","Count","","barb length","-","-","-","-","10"
"2","","Segment","b2","black segment","2.656024979056","2.592060968750","0.573162879630","2.654674321325","-"
"3","","Segment","b2","clear segment","0.144831306495","0.141385143750","0.031406185185","0.144831306495","-"
"4","","Segment","b6","clear segment","1.173638689024","1.080025403646","0.459315458333","1.173637747682","-"
"5","","Segment","b6","clear segment","0.196982938499","0.180658794792","0.078515462963","0.196982938499","-"
"6","","Segment","b6","clear segment","0.149279439780","0.133530413542","0.066738143519","0.149279439780","-"
"7","","Segment","b6","clear segment","0.140775148187","0.129603048438","0.054960824074","0.140775148187","-"
"8","","Segment","b6","clear segment","0.110655769558","0.098184127604","0.051035050926","0.110655769558","-"
"9","","Segment","b6","clear segment","0.128399195552","0.117820953125","0.051035050926","0.128399195552","-"
"10","","Segment","b6","clear segment","0.107261073953","0.098184127604","0.043183504630","0.107261073953","-"
"11","","Segment","b6","clear segment","0.080959764468","0.074619936979","0.031406185185","0.080959764468","-"
"12","","Segment","b6","black segment","0.981907328829","0.903293973958","0.384725768519","0.981811550325","-"
"13","","Segment","b6","black segment","0.140775148187","0.129603048438","0.054960824074","0.140775148187","-"
"14","","Segment","b6","black segment","0.038677474666","0.035346285938","0.015703092593","0.038677474666","-"
"15","","Segment","b6","black segment","0.527185580611","0.479138542708","0.219843296296","0.527166783888","-"
"16","","Segment","b6","black segment","0.045966454214","0.043201016146","0.015703092593","0.045966454214","-"
"17","","Segment","b6","black segment","0.063320541797","0.054983111458","0.031406185185","0.063320541797","-"
"18","","Segment","b6","black segment","0.193185157362","0.172804064583","0.086367009259","0.193185157362","-"
"19","","Segment","b6","black segment","1.045598835769","0.946494990104","0.443612365741","1.045296463847","-"
"20","","Segment","b10","black segment","0.086214558323","0.074619936979","0.043183504630","0.086214558323","-"
"21","","Segment","b10","black segment","0.183182561586","0.157094604167","0.094218555556","0.183182561586","-"
"22","","Segment","b10","black segment","0.132012232064","0.121748318229","0.051035050926","0.132012232064","-"
"23","","Segment","b10","black segment","0.057981568464","0.051055746354","0.027480412037","0.057981568464","-"
"24","","Segment","b10","black segment","0.048577665367","0.047128381250","0.011777319444","0.048577665367","-"
"25","","Segment","b10","black segment","0.093346978868","0.086402032292","0.035331958333","0.093346978868","-"
"26","","Segment","b10","black segment","0.084593304300","0.078547302083","0.031406185185","0.084593304300","-"
"27","","Segment","b10","black segment","0.917659271848","0.867947688021","0.294432986111","0.916528216942","-"
"28","","Segment","b10","clear segment","0.258383887845","0.235641906250","0.105995875000","0.258383887845","-"
"29","","Segment","b10","black segment","0.028317100783","0.023564190625","0.015703092593","0.028317100783","-"
"30","","Segment","b10","clear segment","0.827481744818","0.730489909375","0.388651541667","0.827445181591","-"
"31","","Segment","b10","clear segment","0.801938710198","0.699070988542","0.392577314815","0.801758813564","-"
"32","","Segment","b10","clear segment","1.301658056934","1.162500070833","0.584940199074","1.301369068013","-"
"33","","Segment","b10","clear segment","0.372325194588","0.333826033854","0.164882472222","0.372325194588","-"
"34","","Segment","b10","clear segment","0.404798822338","0.373099684896","0.157030925926","0.404798822338","-"
"35","","Segment","b10","clear segment","0.216598460124","0.200295620313","0.082441236111","0.216598460124","-"
"36","","Segment","b10","clear segment","0.153158056287","0.141385143750","0.058886597222","0.153158056287","-"
"37","","Segment","b10","clear segment","0.221111262148","0.208150350521","0.074589689815","0.221111262148","-"
