RefSeq Protein Accession,Gene Symbol
NP_001191171,HBAD
NP_001191172,HBAA
XP_030118733,LOC100223480
XP_032602171,LOC100217693
XP_012424555,LOC100217693
XP_002196467,POLDIP3
XP_030118734,POLDIP3
XP_030118735,POLDIP3
XP_002197796,SLC25A17
XP_030120573,ASNS
XP_030120575,ASNS
XP_012426961,-
XP_032601995,-
XP_002198424,LRATD1
XP_030125895,LRATD1
XP_030122546,-
XP_030122543,LRATD2
XP_030122544,LRATD2
XP_030122545,LRATD2
XP_032607936,-
XP_030144804,-
XP_032607927,LOC100230541
XP_032607836,-
XP_032607837,-
XP_030122048,-
XP_030122049,-
XP_030122050,-
XP_030122051,PCMTD1
XP_032607838,-
XP_002197351,PCMTD1
XP_030144244,LOC100220938
XP_002195491,PXDN
XP_032607731,-
XP_032607685,-
XP_032607688,-
XP_030123663,TPO
XP_032607686,-
XP_032607687,-
XP_030147234,LOC115498426
XP_030147233,-
XP_032608818,-
XP_032608817,-
XP_030147223,APH1A
XP_030147224,-
XP_030147115,PRPF3
XP_030147117,-
XP_032608759,-
XP_032608729,RPRD2
XP_032608730,RPRD2
XP_030112114,P3H4
XP_030121139,-
XP_030121140,CRTAP
XP_030111798,FKBP10
XP_004186158,FKBP9
XP_030112116,NT5C3B
XP_012427167,-
XP_012427168,NT5C3A
XP_030112106,-
XP_030112107,-
XP_030112104,-
XP_030112105,KLHL10
XP_032604835,-
XP_030145454,KLHL17
XP_030112102,KLHL11
XP_030112096,-
XP_030112097,-
XP_030112098,ACLY
XP_030112095,ACLY
XP_032603526,-
XP_032603525,-
XP_002191439,CAPN9
XP_030124446,CAPN11
XP_030124447,CAPN11
XP_030124448,-
XP_030131357,CAPN3
XP_030131358,CAPN3
XP_030131360,CAPN3
XP_030118983,LOC100225408
XP_032603236,-
XP_030124169,AGT
XP_002190600,AGT
XP_030124170,AGT
XP_030124167,COG2
XP_030124156,SPRTN
XP_030124089,-
XP_030124091,RYR2
XP_030124094,-
XP_030124092,RYR2
XP_030124090,RYR2
XP_030124087,RYR2
XP_030124088,-
XP_030124095,RYR2
XP_030123970,TXLNB
XP_002188583,IYD
XP_030123862,IYD
XP_030123863,-
XP_030123865,-
XP_030123864,-
XP_030126497,RGS12
XP_030126493,RGS12
XP_030126498,RGS12
XP_030127303,FNIP2
XP_030127300,FNIP2
XP_030127299,FNIP2
XP_030127302,FNIP2
XP_030140124,FNIP1
XP_030140127,FNIP1
XP_030140125,FNIP1
XP_030127775,-
XP_032604115,-
XP_030127776,-
XP_002199077,MGAT4B
XP_032605256,-
XP_002196758,MGAT4A
XP_030127774,-
XP_030127772,ELMOD2
XP_030127773,ELMOD2
XP_012428760,TBC1D9
XP_030127771,-
XP_030139569,TBC1D9B
XP_004177285,TBC1D8B
XP_030139567,TBC1D9B
XP_030139568,TBC1D9B
XP_030134387,-
XP_030134397,-
XP_030134379,TBC1D8
XP_002187332,DBX1
XP_032604443,-
XP_030129264,PRRG4
XP_032604445,-
XP_030129263,PRRG4
XP_030129663,IPO7
XP_004175967,IPO8
XP_030119106,IPO8
XP_030129137,LOC115495360
XP_030129664,TMEM41B
XP_030131007,SYNE2
XP_030131008,-
XP_030131895,LOC100221841
XP_030132784,LOC100232747
XP_032604958,-
XP_030131591,LOC100220263
XP_030131722,NRG3
XP_030132060,-
XP_032605072,-
XP_030132128,-
XP_030132126,-
XP_030132129,-
XP_030126694,KCNIP4
XP_030126695,KCNIP4
XP_030126697,KCNIP4
XP_030126699,KCNIP4
XP_012429032,KCNIP4
XP_030132127,KCNIP2
XP_032606840,KCNIP1
XP_030139546,-
XP_030126700,KCNIP4
XP_030126702,KCNIP4
XP_032605074,-
XP_030126703,KCNIP4
XP_030132130,OGA
XP_004174888,TRIM8
XP_002189954,TSN
XP_030133035,NIFK
XP_030135022,-
XP_032605774,-
XP_030135020,-
XP_030135023,-
XP_002190724,-
XP_030135018,-
XP_030135014,-
XP_030135016,-
XP_032605773,-
XP_032605772,-
NP_001232395,MRPS22
XP_030136654,COPB2
XP_030136655,COPB2
XP_030136656,COPB2
XP_012432887,SLF1
XP_012432886,SLF1
XP_030114089,SLF1
XP_012432888,SLF1
XP_012432889,SLF1
XP_032600203,SLF1
XP_032600204,SLF1
XP_030114092,SLF1
XP_030114387,ZNF475
XP_030114514,SLC28A3
XP_030114513,-
XP_030113238,-
XP_030113237,-
XP_030113235,-
XP_030113233,POC5
XP_030113232,POC5
XP_030113234,-
