"Image Name","BW15110_f3"
"Created Date","	6/6/2023 4:56:23 PM"
"Specimen","BW15110"
"Description",""
"Observations",""
"Calibration","1 pixel = 3.93E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)"
"1","","Segment","b1","clear segment","1.638455973413","1.637711248438","0.027480412037","1.637828875563"
"2","","Segment","b2","clear segment","1.465023452407","1.453125088542","0.184511337963","1.464792462018"
"3","","Segment","b3","clear segment","1.974431354044","1.944045726563","0.337616490741","1.973144364152"
"4","","Segment","b4","clear segment","2.333802184619","2.270017030208","0.526053601852","2.330173750916"
"5","","Segment","b5","clear segment","3.014755591482","2.894468081771","0.836189680556","3.012832331587"
"6","","Segment","b6","clear segment","3.155518162569","3.027998495313","0.875447412037","3.152012541037"
"7","","Segment","b7","clear segment","3.772240524180","3.534628593750","1.283727819444","3.760526081570"
"8","","Segment","b8","clear segment","4.206717301741","3.876309357813","1.621344310185","4.201729597396"
"9","","Segment","b8","clear segment","4.650954602327","4.257263772917","1.849039152778","4.641469661723"
"10","","Segment","b9","clear segment","4.910494035156","4.339738440104","2.273022652778","4.898975577461"
"11","","Segment","b9","clear segment","5.169791564675","4.320101614583","2.826556666667","5.162625354430"
"12","","Segment","b10","clear segment","5.249386622800","4.163007010417","3.156321611111","5.224269660110"
