Melanogenesis_genes,Citation
ITPKB,Poelstra et al 2015
IVNS1ABP,Poelstra et al 2015
JMJD6,Poelstra et al 2015
KCNAB2,Poelstra et al 2015
KCNN2,Poelstra et al 2015
KCNJ13,Ablolins-abols et al 2018. Mol.Eco
KCTD14,Poelstra et al 2015
KIAA1598,Poelstra et al 2015
KIT,Poelstra et al 2015
KITLG,"Campagna et al 2017, Sci.Adv."
KITLG,Poelstra et al 2015
KRAS,Poelstra et al 2015
KRT2-17,Hoekstra 2006. Nat.
KRT14,Poelstra et al 2015
KRT4,Poelstra et al 2015
KRT75,Poelstra et al 2015
LDB3,Poelstra et al 2015
LEF1,Poelstra et al 2015
LGALS3,Poelstra et al 2015
LINS,Poelstra et al 2015
LMX1A,Poelstra et al 2015
LYST,Poelstra et al 2015
LZTS1,Poelstra et al 2015
MAB21L2,Poelstra et al 2015
MAP2K1,Poelstra et al 2015
MAP2K2,Poelstra et al 2015
MAPK1,Poelstra et al 2015
MAPKAP1,Poelstra et al 2015
MAPKAPK3,Poelstra et al 2015
MAPKAPK5,Poelstra et al 2015
MBP,Poelstra et al 2015
MBTPS1,Poelstra et al 2015
MC1R,Poelstra et al 2015
MCOLN3,Poelstra et al 2015
MDH1,Poelstra et al 2015
MED1,Poelstra et al 2015
MFAP3L,Poelstra et al 2015
MGRN1,Poelstra et al 2015
MITF,Poelstra et al 2015
MLANA,Poelstra et al 2015
MLPH,Poelstra et al 2015
MMP17,Poelstra et al 2015
MPPED2,Poelstra et al 2015
MPZL3,Poelstra et al 2015
MREG,Poelstra et al 2015
MSX1,Poelstra et al 2015
MTHFS,Poelstra et al 2015
MYC,Poelstra et al 2015
MYEF2,Poelstra et al 2015
MYO5A,Poelstra et al 2015
MFSD12,Ablolins-abols et al 2018. Mol.Eco
MYO7A,Poelstra et al 2015
NA,Poelstra et al 2015
NARS2,Poelstra et al 2015
NAV2,Poelstra et al 2015
NDP,Poelstra et al 2015
NF1,Poelstra et al 2015
NOTCH1,Poelstra et al 2015
NOTCH2,Poelstra et al 2015
NR2E1,Poelstra et al 2015
NR4A1,Poelstra et al 2015
NR4A2,Poelstra et al 2015
NR4A3,Poelstra et al 2015
NRAS,Poelstra et al 2015
NUFIP2,Poelstra et al 2015
OAT,Poelstra et al 2015
OCA2,Poelstra et al 2015
OSTM1,Poelstra et al 2015
OTX2,Poelstra et al 2015
PAH,Poelstra et al 2015
PAM,Poelstra et al 2015
PAX2,Poelstra et al 2015
PAX3,Poelstra et al 2015
PAX7,Roberts et al 2009. Sci. 
PAX6,Poelstra et al 2015
PCBD1,Poelstra et al 2015
PCBD2,Poelstra et al 2015
PCSK2,Poelstra et al 2015
PDE3B,Poelstra et al 2015
PDGFB,Poelstra et al 2015
PDGFC,Poelstra et al 2015
PDPK1,Poelstra et al 2015
PFKFB2,Poelstra et al 2015
PHACTR4,Poelstra et al 2015
PITX3,Poelstra et al 2015
PLA1A,Poelstra et al 2015
PLCB1,Poelstra et al 2015
PLCB2,Poelstra et al 2015
PLCB4,Poelstra et al 2015
PLCD1,Poelstra et al 2015
PLCD3,Poelstra et al 2015
PLCD4,Poelstra et al 2015
PLCE1,Poelstra et al 2015
PLCG1,Poelstra et al 2015
PLCG2,Poelstra et al 2015
PLCH1,Poelstra et al 2015
PLCH2,Poelstra et al 2015
PLCL1,Poelstra et al 2015
PLCL2,Poelstra et al 2015
PLP1,Poelstra et al 2015
PLXNC1,Poelstra et al 2015
PMCH,Poelstra et al 2015
PMEL,Poelstra et al 2015
POLG,Poelstra et al 2015
POLH,Poelstra et al 2015
POMC,Poelstra et al 2015
PPM1H,Poelstra et al 2015
PRKAA1,Poelstra et al 2015
PRKAA2,Poelstra et al 2015
PRKACA,Poelstra et al 2015
PRKACB,Poelstra et al 2015
PRKAR2B,Poelstra et al 2015
PRKCA,Poelstra et al 2015
PRKCB,Poelstra et al 2015
PRKG1,Poelstra et al 2015
PRKG2,Poelstra et al 2015
PROS1,Poelstra et al 2015
PSEN2,Poelstra et al 2015
PTS,Poelstra et al 2015
PYGO1,Poelstra et al 2015
QDPR,Poelstra et al 2015
RAB17,Poelstra et al 2015
RAB27A,Poelstra et al 2015
RAB32,Poelstra et al 2015
RAB38,Poelstra et al 2015
RAF1,Poelstra et al 2015
RASGRF1,Poelstra et al 2015
RB1,Poelstra et al 2015
RBP1,Poelstra et al 2015
RBPJ,Poelstra et al 2015
RGS20,Poelstra et al 2015
RNF144A,Poelstra et al 2015
RPL24,Poelstra et al 2015
RPS19BP1,Poelstra et al 2015
RPS20,Poelstra et al 2015
RPS6KA1,Poelstra et al 2015
RRAGD,Poelstra et al 2015
RS1,Poelstra et al 2015
RUNX3,Poelstra et al 2015
RXRA,Poelstra et al 2015
S100A1,Poelstra et al 2015
SCARB1,Poelstra et al 2015
SCG5,Poelstra et al 2015
SCUBE2,Poelstra et al 2015
SDCBP,Poelstra et al 2015
SEMA3C,Poelstra et al 2015
SEMA4C,Poelstra et al 2015
SEMA6A,Poelstra et al 2015
SERINC2,Poelstra et al 2015
