"Image Name","BW15005_f1"
"Created Date","	6/8/2023 4:43:14 PM"
"Specimen","BW15005_L_f1"
"Description","left side feather 1"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)","Count"
"1","","Count","","barb length","-","-","-","-","10"
"2","","Segment","b2","clear segment","2.403435840397","2.368201157813","0.357245356481","2.394994982999","-"
"3","","Segment","b6","clear segment","1.789308927905","1.743750106250","0.380799995370","1.784845390929","-"
"4","","Segment","b6","clear segment","0.122316631105","0.121748318229","0.011777319444","0.122316631105","-"
"5","","Segment","b6","clear segment","0.066880524295","0.066765206771","0.003925773148","0.066880524295","-"
"6","","Segment","b6","clear segment","0.286805144284","0.286697652604","0.007851546296","0.286805144284","-"
"7","","Segment","b6","clear segment","0.149703858442","0.149239873958","0.011777319444","0.149703858442","-"
"8","","Segment","b6","clear segment","0.193877067229","0.192440890104","0.023554638889","0.193877067229","-"
"9","","Segment","b6","clear segment","0.078938744884","0.078547302083","0.007851546296","0.078938744884","-"
"10","","Segment","b6","clear segment","1.353334255791","1.284248389063","0.412206180556","1.348780137790","-"
"11","","Segment","b6","black segment","0.047128381250","0.047128381250","0.000000000000","0.047128381250","-"
"12","","Segment","b6","black segment","0.051206453994","0.051055746354","0.003925773148","0.051206453994","-"
"13","","Segment","b6","black segment","0.172848651807","0.172804064583","0.003925773148","0.172848651807","-"
"14","","Segment","b6","black segment","0.066765206771","0.066765206771","0.000000000000","0.066765206771","-"
"15","","Segment","b6","black segment","0.121811595041","0.121748318229","0.003925773148","0.121811595041","-"
"16","","Segment","b6","black segment","0.047291606169","0.047128381250","0.003925773148","0.047291606169","-"
"17","","Segment","b6","black segment","0.127199330783","0.125675683333","0.019628865741","0.127199330783","-"
"18","","Segment","b10","black segment","0.227276009368","0.223859810938","0.039257731481","0.227276009368","-"
"19","","Segment","b10","black segment","0.035563627829","0.035346285938","0.003925773148","0.035563627829","-"
"20","","Segment","b10","black segment","0.007854730208","0.007854730208","0.000000000000","0.007854730208","-"
"21","","Segment","b10","black segment","0.109541829508","0.106038857813","0.027480412037","0.109541829508","-"
"22","","Segment","b10","black segment","0.125733851685","0.121748318229","0.031406185185","0.125733851685","-"
"23","","Segment","b10","black segment","0.011106014852","0.007854730208","0.007851546296","0.011106014852","-"
"24","","Segment","b10","clear segment","1.649275996920","1.645565978646","0.070663916667","1.646132499269","-"
"25","","Segment","b10","clear segment","0.451234786763","0.443792256771","0.078515462963","0.450684196632","-"
"26","","Segment","b10","black segment","0.023888967634","0.023564190625","0.003925773148","0.023888967634","-"
"27","","Segment","b10","clear segment","0.183952642445","0.176731429688","0.051035050926","0.183952642445","-"
"28","","Segment","b10","clear segment","0.070798402866","0.066765206771","0.023554638889","0.070798402866","-"
"29","","Segment","b10","clear segment","0.073367104949","0.070692571875","0.019628865741","0.073367104949","-"
"30","","Segment","b10","clear segment","0.226080018359","0.216005080729","0.066738143519","0.226080018359","-"
"31","","Segment","b10","clear segment","0.061468004615","0.054983111458","0.027480412037","0.061468004615","-"
"32","","Segment","b10","clear segment","2.429337786116","2.006883568229","1.330837097222","2.408050878983","-"
