"Image Name","BW15114_f3"
"Created Date","	6/7/2023 11:40:13 AM"
"Specimen","BW15110"
"Description",""
"Observations",""
"Calibration","1 pixel = 3.93E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)"
"1","","Segment","b1","clear segment","0.907529553977","0.903293973958","0.082441236111","0.907048268176"
"2","","Segment","b2","clear segment","1.700024070994","1.684839629688","0.211991750000","1.698123988357"
"3","","Segment","b3","clear segment","2.366898251688","2.336782236979","0.361171129630","2.364528665070"
"4","","Segment","b4","clear segment","2.344678523388","2.289653855729","0.443612365741","2.332232130405"
"5","","Segment","b5","clear segment","3.038664510151","2.945523828125","0.639901023148","3.014230240290"
"6","","Segment","b6","clear segment","3.443687214332","3.302914052604","0.867595865741","3.414961760421"
"7","","Segment","b7","clear segment","1.578471408423","1.386359881771","0.741971125000","1.572423248403"
"8","","Segment","b7","black segment","0.042296652150","0.039273651042","0.015703092593","0.042296652150"
"9","","Segment","b7","clear segment","0.031660270899","0.027491555729","0.015703092593","0.031660270899"
"10","","Segment","b7","black segment","0.016192555122","0.015709460417","0.003925773148","0.016192555122"
"11","","Segment","b7","clear segment","1.014812101975","0.985768641146","0.235546388889","1.013519568230"
"12","","Segment","b8","clear segment","3.859508820302","3.495354942708","1.224841222222","3.698583673792"
"13","","Segment","b9","clear segment","4.387543711298","3.782052595313","1.982515439815","4.270162678729"
"14","","Segment","b10","clear segment","3.552298220067","2.815920779688","2.049253583333","3.482649865588"
"15","","Segment","b10","black segment","0.033553745538","0.031418920833","0.011777319444","0.033553745538"
"16","","Segment","b10","clear segment","1.069049580945","1.048606482813","0.208065976852","1.069049580945"
