"Image Name","BW15114_f1"
"Created Date","	6/7/2023 11:33:04 AM"
"Specimen","BW15110"
"Description",""
"Observations",""
"Calibration","1 pixel = 3.93E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)"
"1","","Segment","b1","clear segment","0.979068102356","0.977913910938","0.031406185185","0.978299949019"
"2","","Segment","b2","clear segment","2.129541209572","2.112922426042","0.204140203704","2.121660825323"
"3","","Segment","b3","clear segment","0.638277321349","0.616596321354","0.164882472222","0.638261116749"
"4","","Segment","b4","clear segment","0.342022995984","0.318116573438","0.125624740741","0.342022995984"
"5","","Segment","b4","clear segment","0.360047666349","0.349535494271","0.086367009259","0.360047666349"
"6","","Segment","b4","clear segment","1.603522093635","1.598437597396","0.113847421296","1.602486813707"
"7","","Segment","b4","black segment","0.416081489169","0.396663875521","0.125624740741","0.416081489169"
"8","","Segment","b4","black segment","0.128645055976","0.125675683333","0.027480412037","0.128645055976"
"9","","Segment","b5","black segment","0.124189156034","0.117820953125","0.039257731481","0.124189156034"
"10","","Segment","b5","black segment","0.159038461266","0.149239873958","0.054960824074","0.159038461266"
"11","","Segment","b5","black segment","0.202742901193","0.200295620313","0.031406185185","0.202742901193"
"12","","Segment","b5","black segment","0.156344934915","0.141385143750","0.066738143519","0.156344934915"
"13","","Segment","b5","clear segment","0.238906886868","0.216005080729","0.102070101852","0.238906886868"
"14","","Segment","b5","clear segment","0.216132547777","0.196368255208","0.090292782407","0.216132547777"
"15","","Segment","b5","clear segment","0.244655485331","0.231714541146","0.078515462963","0.244655485331"
"16","","Segment","b5","clear segment","0.217246959743","0.212077715625","0.047109277778","0.217246959743"
"17","","Segment","b5","black segment","0.049675662413","0.047128381250","0.015703092593","0.049675662413"
"18","","Segment","b5","clear segment","0.178855168461","0.176731429688","0.027480412037","0.178855168461"
"19","","Segment","b5","clear segment","1.312732363883","1.311739944792","0.051035050926","1.312732363883"
"20","","Segment","b6","clear segment","0.317895652202","0.282770287500","0.145253606481","0.317895652202"
"21","","Segment","b6","clear segment","0.562064597262","0.506630098438","0.243397935185","0.562064597262"
"22","","Segment","b6","clear segment","0.500718015114","0.479138542708","0.145253606481","0.500671901852"
"23","","Segment","b6","clear segment","2.343435068399","2.328927506771","0.219843296296","2.339280745597"
"24","","Segment","b6","black segment","0.107828713088","0.090329397396","0.058886597222","0.107828713088"
"25","","Segment","b6","black segment","0.139289362793","0.129603048438","0.051035050926","0.139289362793"
"26","","Segment","b6","black segment","0.082847555830","0.082474667188","0.007851546296","0.082847555830"
"27","","Segment","b7","black segment","0.224383572975","0.188513525000","0.121698967593","0.224383572975"
"28","","Segment","b7","black segment","0.260301373597","0.216005080729","0.145253606481","0.260301373597"
"29","","Segment","b7","black segment","0.086214558323","0.074619936979","0.043183504630","0.086214558323"
"30","","Segment","b7","black segment","0.183064821158","0.168876699479","0.070663916667","0.183064821158"
"31","","Segment","b7","black segment","0.166113140001","0.164949334375","0.019628865741","0.166113140001"
"32","","Segment","b7","clear segment","0.156929693660","0.133530413542","0.082441236111","0.156929693660"
"33","","Segment","b7","clear segment","0.172429116646","0.149239873958","0.086367009259","0.172429116646"
"34","","Segment","b7","clear segment","0.574290039511","0.514484828646","0.255175254630","0.574290039511"
"35","","Segment","b7","clear segment","1.004171872673","0.973986545833","0.231620615741","1.001148291264"
"36","","Segment","b7","clear segment","0.598519385432","0.596959495833","0.043183504630","0.598519385432"
